stage,substrate,exponent,method,condition,reference_m,median_m,min_m,max_m,replicates,effect_pct,min_pct,max_pct,precision
exact7,official27_common,4.7,WCL,fraction_f7_D10000,550.147955381421,605.2856886082386,546.6753385433319,699.099721434136,8,10.022346295659743,-0.6312150766208795,27.074855881168517,full precision derived from retained author NPZ
exact7,official27_common,4.7,ABS,fraction_f7_D10000,560.2566653454028,611.0401301336375,560.5029077829261,741.4772265865327,8,9.064321395788534,0.043951719409079784,32.345989338548236,full precision derived from retained author NPZ
exact7,official27_common,4.7,DIFF,fraction_f7_D10000,1104.02759665123,813.1242811215111,748.6205280706195,982.874829428755,8,-26.34927934882204,-32.19186455652395,-10.973708228848555,full precision derived from retained author NPZ
exact7,official27_common,4.7,Min-Max,fraction_f7_D10000,442.6550881089566,638.0448683056419,519.6774284042153,776.6306013472314,8,44.140412127961675,17.400080189815917,75.4482490340355,full precision derived from retained author NPZ
exact7,recovered26_common_minus71,4.7,WCL,reference,613.7384027086815,613.7384027086815,613.7384027086815,613.7384027086815,1,0.0,0.0,0.0,full precision derived from retained author NPZ
exact7,recovered26_common_minus71,4.7,ABS,reference,644.4770106056751,644.4770106056751,644.4770106056751,644.4770106056751,1,0.0,0.0,0.0,full precision derived from retained author NPZ
exact7,recovered26_common_minus71,4.7,DIFF,reference,1001.075109489035,1001.075109489035,1001.075109489035,1001.075109489035,1,0.0,0.0,0.0,full precision derived from retained author NPZ
exact7,recovered26_common_minus71,4.7,Min-Max,reference,509.6405932843563,509.6405932843563,509.6405932843563,509.6405932843563,1,0.0,0.0,0.0,full precision derived from retained author NPZ
exact7,recovered26_common_minus71,4.7,WCL,fraction_f7_D1000,613.7384027086815,650.3330611885474,613.7384027086815,867.1889360160708,8,5.962582481128523,0.0,41.296182899555774,full precision derived from retained author NPZ
exact7,recovered26_common_minus71,4.7,ABS,fraction_f7_D1000,644.4770106056751,700.4934740023625,624.76013241398,779.5586099337067,8,8.691770610101907,-3.0593609806446427,20.959878646576218,full precision derived from retained author NPZ
exact7,recovered26_common_minus71,4.7,DIFF,fraction_f7_D1000,1001.075109489035,1049.7704443297757,947.1270886145667,1554.0537348577263,8,4.864303824874406,-5.389008313472526,55.2384751280991,full precision derived from retained author NPZ
exact7,recovered26_common_minus71,4.7,Min-Max,fraction_f7_D1000,509.6405932843563,571.6867790192539,505.1581293520102,688.4825472801759,8,12.17449837247925,-0.8795343211299376,35.09177964872863,full precision derived from retained author NPZ
exact7,recovered26_common_minus71,4.7,WCL,fraction_f7_D10000,613.7384027086815,764.9962339248806,633.1915431607384,1407.8206169887235,8,24.64532617620727,3.1696143448417367,129.38447566185016,full precision derived from retained author NPZ
