population=2498 receivers=29 max_gws=10 tau=3.0
conditions=483 total_condition_message_hits_lt2=19695
max_condition_lt2_pct=11.128903
verdict=OPEN: fallback invoked; regenerate affected DIFF outputs

condition,max_gws,messages,zero,one,lt2,lt2_pct,min,median,max
E1_D5000_f29_draw6,10,2498,67,52,119,4.763811,0,4.0,43
E1_D5000_f29_draw7,10,2498,77,89,166,6.645316,0,3.0,43
E1_D10000_f1_draw0,10,2498,13,12,25,1.000801,0,5.0,44
E1_D10000_f1_draw1,10,2498,13,12,25,1.000801,0,5.0,44
E1_D10000_f1_draw2,10,2498,2,2,4,0.160128,0,5.0,45
E1_D10000_f1_draw3,10,2498,10,10,20,0.800641,0,5.0,44
E1_D10000_f1_draw4,10,2498,13,12,25,1.000801,0,5.0,44
E1_D10000_f1_draw5,10,2498,13,12,25,1.000801,0,5.0,44
E1_D10000_f1_draw6,10,2498,10,12,22,0.880705,0,5.0,44
E1_D10000_f1_draw7,10,2498,13,12,25,1.000801,0,5.0,44
E1_D10000_f3_draw0,10,2498,10,12,22,0.880705,0,5.0,44
E1_D10000_f3_draw1,10,2498,13,12,25,1.000801,0,5.0,45
E1_D10000_f3_draw2,10,2498,12,12,24,0.960769,0,5.0,45
E1_D10000_f3_draw3,10,2498,13,12,25,1.000801,0,5.0,44
E1_D10000_f3_draw4,10,2498,13,12,25,1.000801,0,5.0,44
E1_D10000_f3_draw5,10,2498,11,12,23,0.920737,0,5.0,44
E1_D10000_f3_draw6,10,2498,2,0,2,0.080064,0,5.0,44
E1_D10000_f3_draw7,10,2498,13,12,25,1.000801,0,5.0,45
E1_D10000_f7_draw0,10,2498,7,10,17,0.680544,0,5.0,44
E1_D10000_f7_draw1,10,2498,3,2,5,0.200160,0,5.0,44
E1_D10000_f7_draw2,10,2498,2,0,2,0.080064,0,5.0,44
E1_D10000_f7_draw3,10,2498,12,12,24,0.960769,0,5.0,44
E1_D10000_f7_draw4,10,2498,1,1,2,0.080064,0,5.0,45
E1_D10000_f7_draw5,10,2498,4,3,7,0.280224,0,5.0,44
E1_D10000_f7_draw6,10,2498,3,0,3,0.120096,0,5.0,44
E1_D10000_f7_draw7,10,2498,13,12,25,1.000801,0,5.0,45
E1_D10000_f14_draw0,10,2498,7,9,16,0.640512,0,5.0,44
E1_D10000_f14_draw1,10,2498,78,51,129,5.164131,0,5.0,44
E1_D10000_f14_draw2,10,2498,7,9,16,0.640512,0,5.0,44
E1_D10000_f14_draw3,10,2498,1,0,1,0.040032,0,5.0,45
E1_D10000_f14_draw4,10,2498,0,5,5,0.200160,1,5.0,44
E1_D10000_f14_draw5,10,2498,5,2,7,0.280224,0,5.0,45
E1_D10000_f14_draw6,10,2498,1,6,7,0.280224,0,5.0,44
E1_D10000_f14_draw7,10,2498,13,7,20,0.800641,0,5.0,44
E1_D10000_f21_draw0,10,2498,63,44,107,4.283427,0,3.0,41
E1_D10000_f21_draw1,10,2498,3,5,8,0.320256,0,5.0,44
E1_D10000_f21_draw2,10,2498,13,4,17,0.680544,0,5.0,42
E1_D10000_f21_draw3,10,2498,9,17,26,1.040833,0,5.0,44
E1_D10000_f21_draw4,10,2498,23,16,39,1.561249,0,5.0,43
E1_D10000_f21_draw5,10,2498,95,70,165,6.605284,0,3.0,41
E1_D10000_f21_draw6,10,2498,38,39,77,3.082466,0,4.0,43
E1_D10000_f21_draw7,10,2498,4,3,7,0.280224,0,5.0,44
E1_D10000_f29_draw0,10,2498,74,79,153,6.124900,0,3.0,42
E1_D10000_f29_draw1,10,2498,153,125,278,11.128903,0,3.0,40
E1_D10000_f29_draw2,10,2498,129,98,227,9.087270,0,3.0,41
E1_D10000_f29_draw3,10,2498,87,69,156,6.244996,0,3.0,41
E1_D10000_f29_draw4,10,2498,152,117,269,10.768615,0,3.0,43
E1_D10000_f29_draw5,10,2498,155,100,255,10.208167,0,3.0,40
E1_D10000_f29_draw6,10,2498,115,86,201,8.046437,0,3.0,41
E1_D10000_f29_draw7,10,2498,159,112,271,10.848679,0,3.0,39
E2_D1000_top1_dir0,10,2498,10,8,18,0.720576,0,5.0,44
E2_D1000_top1_dir1,10,2498,10,8,18,0.720576,0,5.0,44
E2_D1000_top1_dir2,10,2498,6,6,12,0.480384,0,5.0,45
E2_D1000_top1_dir3,10,2498,6,6,12,0.480384,0,5.0,45
E2_D1000_top2_dir0,10,2498,4,4,8,0.320256,0,5.0,45
E2_D1000_top2_dir1,10,2498,8,5,13,0.520416,0,5.0,43
E2_D1000_top2_dir2,10,2498,7,5,12,0.480384,0,5.0,45
