run,map,n,D_m,window,N,map_n,source,k,arm,S_display,method,median_m,effect_pct,draws,line,min_m,max_m
O27_N4P7_D1000_W10,official27_common.json,4.7,1000,10,2498,27,results/O27_N4P7_D1000_W10.txt,2,top,0.187,DIFF,1077.0,-2.4,4,125,1010.0,1134.0
O27_N4P7_D1000_W10,official27_common.json,4.7,1000,10,2498,27,results/O27_N4P7_D1000_W10.txt,2,top,0.187,Min-Max,511.0,15.4,4,125,475.0,566.0
O27_N4P7_D1000_W10,official27_common.json,4.7,1000,10,2498,27,results/O27_N4P7_D1000_W10.txt,2,bottom,0.001,WCL,554.0,0.7,4,127,550.0,556.0
O27_N4P7_D1000_W10,official27_common.json,4.7,1000,10,2498,27,results/O27_N4P7_D1000_W10.txt,2,bottom,0.001,ABS,560.0,-0.0,4,127,560.0,561.0
O27_N4P7_D1000_W10,official27_common.json,4.7,1000,10,2498,27,results/O27_N4P7_D1000_W10.txt,2,bottom,0.001,DIFF,1108.0,0.4,4,127,1105.0,1110.0
O27_N4P7_D1000_W10,official27_common.json,4.7,1000,10,2498,27,results/O27_N4P7_D1000_W10.txt,2,bottom,0.001,Min-Max,443.0,0.1,4,127,442.0,443.0
O27_N4P7_D1000_W10,official27_common.json,4.7,1000,10,2498,27,results/O27_N4P7_D1000_W10.txt,2,random,0.099,WCL,577.0,4.8,8,129,,
O27_N4P7_D1000_W10,official27_common.json,4.7,1000,10,2498,27,results/O27_N4P7_D1000_W10.txt,2,random,0.099,ABS,561.0,0.1,8,129,,
O27_N4P7_D1000_W10,official27_common.json,4.7,1000,10,2498,27,results/O27_N4P7_D1000_W10.txt,2,random,0.099,DIFF,1034.0,-6.3,8,129,,
O27_N4P7_D1000_W10,official27_common.json,4.7,1000,10,2498,27,results/O27_N4P7_D1000_W10.txt,2,random,0.099,Min-Max,457.0,3.2,8,129,,
O27_N4P7_D1000_W10,official27_common.json,4.7,1000,10,2498,27,results/O27_N4P7_D1000_W10.txt,3,top,0.271,WCL,706.0,28.3,4,130,688.0,732.0
O27_N4P7_D1000_W10,official27_common.json,4.7,1000,10,2498,27,results/O27_N4P7_D1000_W10.txt,3,top,0.271,ABS,612.0,9.3,4,130,567.0,682.0
O27_N4P7_D1000_W10,official27_common.json,4.7,1000,10,2498,27,results/O27_N4P7_D1000_W10.txt,3,top,0.271,DIFF,1062.0,-3.8,4,130,1010.0,1186.0
O27_N4P7_D1000_W10,official27_common.json,4.7,1000,10,2498,27,results/O27_N4P7_D1000_W10.txt,3,top,0.271,Min-Max,527.0,19.0,4,130,519.0,554.0
O27_N4P7_D1000_W10,official27_common.json,4.7,1000,10,2498,27,results/O27_N4P7_D1000_W10.txt,3,bottom,0.003,WCL,558.0,1.5,4,132,552.0,559.0
