map,window,N,k,added,exhausted_n,newly_exhausted_n,C_pct,delta_C_pp,S_pct,top_ids
official32_minus71.json,5,2498,16,7,1432,54,57.32586068855085,2.1617293835068057,85.42306904322885,"14,69,9,27,2,32,10,5,11,18,20,1,4,6,19,7"
official32_minus71.json,5,2498,17,17,1502,70,60.12810248198559,2.8022417934347477,87.6459741856177,"14,69,9,27,2,32,10,5,11,18,20,1,4,6,19,7,17"
official32_minus71.json,5,2498,18,12,1648,146,65.97277822257807,5.844675740592474,89.51034624052448,"14,69,9,27,2,32,10,5,11,18,20,1,4,6,19,7,17,12"
official32_minus71.json,5,2498,19,22,1785,137,71.45716573258608,5.484387510008006,91.33374308543331,"14,69,9,27,2,32,10,5,11,18,20,1,4,6,19,7,17,12,22"
official32_minus71.json,5,2498,20,31,1919,134,76.82145716573258,5.3642914331465175,93.02397049784881,"14,69,9,27,2,32,10,5,11,18,20,1,4,6,19,7,17,12,22,31"
official32_minus71.json,5,2498,21,25,2020,101,80.86469175340272,4.043234587670136,94.43761524277812,"14,69,9,27,2,32,10,5,11,18,20,1,4,6,19,7,17,12,22,31,25"
official32_minus71.json,5,2498,22,3,2130,110,85.26821457165732,4.403522818254603,95.73857816021307,"14,69,9,27,2,32,10,5,11,18,20,1,4,6,19,7,17,12,22,31,25,3"
official32_minus71.json,5,2498,23,70,2232,102,89.35148118494796,4.083266613290633,96.87564023765621,"14,69,9,27,2,32,10,5,11,18,20,1,4,6,19,7,17,12,22,31,25,3,70"
official32_minus71.json,5,2498,24,15,2294,62,91.83346677341873,2.481985588470777,97.8180700676091,"14,69,9,27,2,32,10,5,11,18,20,1,4,6,19,7,17,12,22,31,25,3,70,15"
official32_minus71.json,5,2498,25,23,2339,45,93.63490792634107,1.8014411529223378,98.34050399508297,"14,69,9,27,2,32,10,5,11,18,20,1,4,6,19,7,17,12,22,31,25,3,70,15,23"
official32_minus71.json,5,2498,26,37,2388,49,95.5964771817454,1.9615692554043236,98.84245031755788,"14,69,9,27,2,32,10,5,11,18,20,1,4,6,19,7,17,12,22,31,25,3,70,15,23,37"
official32_minus71.json,5,2498,27,34,2430,42,97.27782225780625,1.6813450760608486,99.30342143003483,"14,69,9,27,2,32,10,5,11,18,20,1,4,6,19,7,17,12,22,31,25,3,70,15,23,37,34"
official32_minus71.json,5,2498,28,16,2471,41,98.9191353082466,1.6413130504403524,99.72341733251383,"14,69,9,27,2,32,10,5,11,18,20,1,4,6,19,7,17,12,22,31,25,3,70,15,23,37,34,16"
official32_minus71.json,5,2498,29,50,2483,12,99.39951961569255,0.4803843074459567,99.84634296250768,"14,69,9,27,2,32,10,5,11,18,20,1,4,6,19,7,17,12,22,31,25,3,70,15,23,37,34,16,50"
official32_minus71.json,5,2498,30,44,2489,6,99.63971176941553,0.24019215372297836,99.9078057775046,"14,69,9,27,2,32,10,5,11,18,20,1,4,6,19,7,17,12,22,31,25,3,70,15,23,37,34,16,50,44"
official32_minus71.json,5,2498,31,48,2495,6,99.87990392313851,0.24019215372297836,99.96926859250154,"14,69,9,27,2,32,10,5,11,18,20,1,4,6,19,7,17,12,22,31,25,3,70,15,23,37,34,16,50,44,48"
official32_minus71.json,5,2498,32,33,2498,3,100.0,0.12009607686148918,100.0,"14,69,9,27,2,32,10,5,11,18,20,1,4,6,19,7,17,12,22,31,25,3,70,15,23,37,34,16,50,44,48,33"
official33_published.json,10,2495,1,14,0,0,0.0,0.0,9.082022571758642,14
official33_published.json,10,2495,2,69,0,0,0.0,0.0,17.559761841286768,"14,69"
official33_published.json,10,2495,3,27,4,4,0.16032064128256512,0.16032064128256512,25.32657957877899,"14,69,27"
official33_published.json,10,2495,4,2,13,9,0.5210420841683366,0.36072144288577157,31.911490269261527,"14,69,27,2"
official33_published.json,10,2495,5,32,97,84,3.8877755511022043,3.3667334669338675,38.40753576823958,"14,69,27,2,32"
official33_published.json,10,2495,6,9,134,37,5.370741482965932,1.4829659318637274,44.7880565182618,"14,69,27,2,32,9"
official33_published.json,10,2495,7,10,469,335,18.79759519038076,13.426853707414828,50.306584910690475,"14,69,27,2,32,9,10"
official33_published.json,10,2495,8,5,483,14,19.35871743486974,0.561122244488978,55.265262596640895,"14,69,27,2,32,9,10,5"
