run,map,n,D_m,window,N,map_n,source,f,fraction_pct_display,method,median_m,effect_pct,draws,line,min_m,max_m
O32M71_N4P7_D10000_W10,official32_minus71.json,4.7,10000,10,2498,32,results/O32M71_N4P7_D10000_W10.txt,32,100,ABS,2775.0,399.4,8,86,2375.0,3076.0
O32M71_N4P7_D10000_W10,official32_minus71.json,4.7,10000,10,2498,32,results/O32M71_N4P7_D10000_W10.txt,32,100,DIFF,3122.0,188.3,8,86,2761.0,3328.0
O32M71_N4P7_D10000_W10,official32_minus71.json,4.7,10000,10,2498,32,results/O32M71_N4P7_D10000_W10.txt,32,100,Min-Max,3264.0,581.5,8,86,2689.0,3714.0
O32M71_N4P7_D1000_W10,official32_minus71.json,4.7,1000,10,2498,32,results/O32M71_N4P7_D1000_W10.txt,1,3,WCL,595.0,0.2,8,76,592.0,627.0
O32M71_N4P7_D1000_W10,official32_minus71.json,4.7,1000,10,2498,32,results/O32M71_N4P7_D1000_W10.txt,1,3,ABS,556.0,0.0,8,76,545.0,586.0
O32M71_N4P7_D1000_W10,official32_minus71.json,4.7,1000,10,2498,32,results/O32M71_N4P7_D1000_W10.txt,1,3,DIFF,1081.0,-0.2,8,76,943.0,1104.0
O32M71_N4P7_D1000_W10,official32_minus71.json,4.7,1000,10,2498,32,results/O32M71_N4P7_D1000_W10.txt,1,3,Min-Max,481.0,0.4,8,76,477.0,490.0
O32M71_N4P7_D1000_W10,official32_minus71.json,4.7,1000,10,2498,32,results/O32M71_N4P7_D1000_W10.txt,4,12,WCL,613.0,3.3,8,78,561.0,646.0
O32M71_N4P7_D1000_W10,official32_minus71.json,4.7,1000,10,2498,32,results/O32M71_N4P7_D1000_W10.txt,4,12,ABS,570.0,2.6,8,78,552.0,608.0
O32M71_N4P7_D1000_W10,official32_minus71.json,4.7,1000,10,2498,32,results/O32M71_N4P7_D1000_W10.txt,4,12,DIFF,1147.0,5.9,8,78,1060.0,1183.0
O32M71_N4P7_D1000_W10,official32_minus71.json,4.7,1000,10,2498,32,results/O32M71_N4P7_D1000_W10.txt,4,12,Min-Max,486.0,1.5,8,78,470.0,502.0
O32M71_N4P7_D1000_W10,official32_minus71.json,4.7,1000,10,2498,32,results/O32M71_N4P7_D1000_W10.txt,8,25,WCL,638.0,7.4,8,80,599.0,812.0
O32M71_N4P7_D1000_W10,official32_minus71.json,4.7,1000,10,2498,32,results/O32M71_N4P7_D1000_W10.txt,8,25,ABS,598.0,7.7,8,80,555.0,754.0
O32M71_N4P7_D1000_W10,official32_minus71.json,4.7,1000,10,2498,32,results/O32M71_N4P7_D1000_W10.txt,8,25,DIFF,1099.0,1.5,8,80,1008.0,1432.0
O32M71_N4P7_D1000_W10,official32_minus71.json,4.7,1000,10,2498,32,results/O32M71_N4P7_D1000_W10.txt,8,25,Min-Max,520.0,8.5,8,80,471.0,651.0
O32M71_N4P7_D1000_W10,official32_minus71.json,4.7,1000,10,2498,32,results/O32M71_N4P7_D1000_W10.txt,16,50,WCL,765.0,28.8,8,82,601.0,884.0
O32M71_N4P7_D1000_W10,official32_minus71.json,4.7,1000,10,2498,32,results/O32M71_N4P7_D1000_W10.txt,16,50,ABS,677.0,21.8,8,82,568.0,776.0
O32M71_N4P7_D1000_W10,official32_minus71.json,4.7,1000,10,2498,32,results/O32M71_N4P7_D1000_W10.txt,16,50,DIFF,1373.0,26.9,8,82,1006.0,1750.0
O32M71_N4P7_D1000_W10,official32_minus71.json,4.7,1000,10,2498,32,results/O32M71_N4P7_D1000_W10.txt,16,50,Min-Max,551.0,15.0,8,82,495.0,618.0
O32M71_N4P7_D1000_W10,official32_minus71.json,4.7,1000,10,2498,32,results/O32M71_N4P7_D1000_W10.txt,24,75,WCL,818.0,37.7,8,84,648.0,985.0
O32M71_N4P7_D1000_W10,official32_minus71.json,4.7,1000,10,2498,32,results/O32M71_N4P7_D1000_W10.txt,24,75,ABS,733.0,32.0,8,84,718.0,944.0
O32M71_N4P7_D1000_W10,official32_minus71.json,4.7,1000,10,2498,32,results/O32M71_N4P7_D1000_W10.txt,24,75,DIFF,1578.0,45.7,8,84,1102.0,1701.0
O32M71_N4P7_D1000_W10,official32_minus71.json,4.7,1000,10,2498,32,results/O32M71_N4P7_D1000_W10.txt,24,75,Min-Max,617.0,28.8,8,84,568.0,770.0
O32M71_N4P7_D1000_W10,official32_minus71.json,4.7,1000,10,2498,32,results/O32M71_N4P7_D1000_W10.txt,32,100,WCL,852.0,43.5,8,86,693.0,920.0
O32M71_N4P7_D1000_W10,official32_minus71.json,4.7,1000,10,2498,32,results/O32M71_N4P7_D1000_W10.txt,32,100,ABS,748.0,34.6,8,86,696.0,890.0
O32M71_N4P7_D1000_W10,official32_minus71.json,4.7,1000,10,2498,32,results/O32M71_N4P7_D1000_W10.txt,32,100,DIFF,1515.0,39.9,8,86,1251.0,1971.0
O32M71_N4P7_D1000_W10,official32_minus71.json,4.7,1000,10,2498,32,results/O32M71_N4P7_D1000_W10.txt,32,100,Min-Max,662.0,38.3,8,86,564.0,736.0
O32M71_N4P7_D5000_W10,official32_minus71.json,4.7,5000,10,2498,32,results/O32M71_N4P7_D5000_W10.txt,1,3,WCL,597.0,0.5,8,76,594.0,624.0
O32M71_N4P7_D5000_W10,official32_minus71.json,4.7,5000,10,2498,32,results/O32M71_N4P7_D5000_W10.txt,1,3,ABS,555.0,-0.1,8,76,546.0,573.0
O32M71_N4P7_D5000_W10,official32_minus71.json,4.7,5000,10,2498,32,results/O32M71_N4P7_D5000_W10.txt,1,3,DIFF,1061.0,-2.0,8,76,823.0,1085.0
O32M71_N4P7_D5000_W10,official32_minus71.json,4.7,5000,10,2498,32,results/O32M71_N4P7_D5000_W10.txt,1,3,Min-Max,489.0,2.1,8,76,479.0,540.0
O32M71_N4P7_D5000_W10,official32_minus71.json,4.7,5000,10,2498,32,results/O32M71_N4P7_D5000_W10.txt,4,12,WCL,628.0,5.7,8,78,605.0,650.0
O32M71_N4P7_D5000_W10,official32_minus71.json,4.7,5000,10,2498,32,results/O32M71_N4P7_D5000_W10.txt,4,12,ABS,581.0,4.6,8,78,549.0,615.0
O32M71_N4P7_D5000_W10,official32_minus71.json,4.7,5000,10,2498,32,results/O32M71_N4P7_D5000_W10.txt,4,12,DIFF,1022.0,-5.6,8,78,869.0,1179.0
O32M71_N4P7_D5000_W10,official32_minus71.json,4.7,5000,10,2498,32,results/O32M71_N4P7_D5000_W10.txt,4,12,Min-Max,514.0,7.2,8,78,492.0,546.0
